library_id,molecule_h5,hto.tag,chrom.batch.tag,seq.batch.tag,lane.tag
R24-Cancer-J_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_J/R24J_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/06-12-2021/R24_J/R24J_Hu_5_CD4_5D_CITE/R24J_Hu_5_CD4_5D_CITE_06-17-2021_100umis_thold/general_reports/ClassificationPerCell.csv,J,9;19,Hu;CD4;CD4.J.5A;5D;normal.lung
R24-Cancer-L_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-14-2021/count/R24_L/R24L_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_1_CD4_5D_CITE/R24L_Hu_1_CD4_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,10,Hu;CD4;CD4.L.1A;5D;normal.lung
R24-Cancer-L_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_L/R24L_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_L/R24L_Hu_5_CD4_5D_CITE/R24L_Hu_5_CD4_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,L,11,Hu;CD4;CD4.L.5A;5D;normal.lung
R24-Cancer-N_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_N/R24N_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_N/R24N_Hu_1_CD4_5D_CITE/R24N_Hu_1_CD4_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11;19,Hu;CD4;CD4.N.1A;5D;normal.lung
R24-Cancer-N_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-22-2021/R24_N/R24N_Hu_5_CD4_5D_CITE/R24N_Hu_5_CD4_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;CD4;CD4.N.5A;5D;normal.lung
R24-Cancer-P_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_1_CD4_5D_CITE/R24P_Hu_1_CD4_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD4;CD4.P.1A;5D;normal.lung
R24-Cancer-P_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_5_CD4_5D_CITE/R24P_Hu_5_CD4_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD4;CD4.P.5A;5D;normal.lung
R24-Cancer-R_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_R/R24R_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-08-2021/R24_R/R24R_Hu_1_CD4_5D_CITE/R24R_Hu_1_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,13,Hu;CD4;CD4.R.1A;5D;normal.lung
R24-Cancer-R_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_R/R24R_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_R/R24R_Hu_5_CD4_5D_CITE/R24R_Hu_5_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,13,Hu;CD4;CD4.R.5A;5D;normal.lung
R24-Cancer-T_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_T/R24T_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_1_CD4_5D_CITE/R24T_Hu_1_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15;19,Hu;CD4;CD4.T.1A;5D;normal.lung
R24-Cancer-T_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_T/R24T_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_5_CD4_5D_CITE/R24T_Hu_5_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15,Hu;CD4;CD4.T.5A;5D;normal.lung
R24-Cancer-V_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_1_CD4_5D_CITE/R24V_Hu_1_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD4;CD4.V.1A;5D;normal.lung
R24-Cancer-V_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_5_CD4_5D_CITE/R24V_Hu_5_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD4;CD4.V.5A;5D;normal.lung
R24-Cancer-W_Hu_CD4_1A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-23-2021/count/R24_W/R24W_Hu_1_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_1_CD4_5D_CITE/R24W_Hu_1_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,16,Hu;CD4;CD4.W.1A;5D;normal.lung
R24-Cancer-W_Hu_CD4_5A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/10-12-2021/count/R24_W/R24W_Hu_5_CD4_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_5_CD4_5D_CITE/R24W_Hu_5_CD4_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,18,Hu;CD4;CD4.W.5A;5D;normal.lung
