library_id,molecule_h5,hto.tag,chrom.batch.tag,seq.batch.tag,lane.tag
R24-Cancer-N_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_N/R24N_Hu_2A_CD8_5D_CITE/R24N_Hu_2A_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;CD8;CD8.N.2A;5D;normal.lung
R24-Cancer-N_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-15-2021/R24_N/R24N_Hu_2B_CD8_5D_CITE/R24N_Hu_2B_CD8_5D_CITE_07-19-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;CD8;CD8.N.2B;5D;normal.lung
R24-Cancer-N_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-22-2021/R24_N/R24N_Hu_6A_CD8_5D_CITE/R24N_Hu_6A_CD8_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;CD8;CD8.N.6A;5D;normal.lung
R24-Cancer-N_Hu_CD8_6B_3D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-15-2021/count/R24_N/R24N_Hu_6B_CD8_3D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-22-2021/R24_N/R24N_Hu_6B_CD8_3D_CITE/R24N_Hu_6B_CD8_3D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,N,11,Hu;CD8;CD8.N.6B;3D;normal.lung
R24-Cancer-P_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_2A_CD8_5D_CITE/R24P_Hu_2A_CD8_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD8;CD8.P.2A;5D;normal.lung
R24-Cancer-P_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_2B_CD8_5D_CITE/R24P_Hu_2B_CD8_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD8;CD8.P.2B;5D;normal.lung
R24-Cancer-P_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_6A_CD8_5D_CITE/R24P_Hu_6A_CD8_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD8;CD8.P.6A;5D;normal.lung
R24-Cancer-P_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_P/R24P_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/07-23-2021/R24_P/R24P_Hu_6B_CD8_5D_CITE/R24P_Hu_6B_CD8_5D_CITE_07-23-2021_100umis_thold/general_reports/ClassificationPerCell.csv,P,13,Hu;CD8;CD8.P.6B;5D;normal.lung
R24-Cancer-R_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/07-23-2021/count/R24_R/R24R_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-08-2021/R24_R/R24R_Hu_2A_CD8_5D_CITE/R24R_Hu_2A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,13,Hu;CD8;CD8.R.2A;5D;normal.lung
R24-Cancer-R_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_R/R24R_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_R/R24R_Hu_6A_CD8_5D_CITE/R24R_Hu_6A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,15,Hu;CD8;CD8.R.6A;5D;normal.lung
R24-Cancer-R_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_R/R24R_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_R/R24R_Hu_6B_CD8_5D_CITE/R24R_Hu_6B_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,R,15,Hu;CD8;CD8.R.6B;5D;normal.lung
R24-Cancer-T_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_T/R24T_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_2A_CD8_5D_CITE/R24T_Hu_2A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15,Hu;CD8;CD8.T.2A;5D;normal.lung
R24-Cancer-T_Hu_CD8_2B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_T/R24T_Hu_2B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_2B_CD8_5D_CITE/R24T_Hu_2B_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15;19,Hu;CD8;CD8.T.2B;5D;normal.lung
R24-Cancer-T_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_T/R24T_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_6A_CD8_5D_CITE/R24T_Hu_6A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15,Hu;CD8;CD8.T.6A;5D;normal.lung
R24-Cancer-T_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/09-09-2021/count/R24_T/R24T_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-09-2021/R24_T/R24T_Hu_6B_CD8_5D_CITE/R24T_Hu_6B_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,T,15,Hu;CD8;CD8.T.6B;5D;normal.lung
R24-Cancer-V_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_2A_CD8_5D_CITE/R24V_Hu_2A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD8;CD8.V.2A;5D;normal.lung
R24-Cancer-V_Hu_CD8_2B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_2B_CD8_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_2B_CD8_4D_CITE/R24V_Hu_2B_CD8_4D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD8;CD8.V.2B;4D;normal.lung
R24-Cancer-V_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_6A_CD8_5D_CITE/R24V_Hu_6A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD8;CD8.V.6A;5D;normal.lung
R24-Cancer-V_Hu_CD8_6B_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/05-14-2022/count/R24_V/R24V_Hu_6B_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/09-23-2021/R24_V/R24V_Hu_6B_CD8_5D_CITE/R24V_Hu_6B_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,V,16;19;20,Hu;CD8;CD8.V.6B;5D;normal.lung
R24-Cancer-W_Hu_CD8_2A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_W/R24W_Hu_2A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_2A_CD8_5D_CITE/R24W_Hu_2A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,16;19,Hu;CD8;CD8.W.2A;5D;normal.lung
R24-Cancer-W_Hu_CD8_2B_4D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/02-18-2022/count/R24_W/R24W_Hu_2B_CD8_4D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_2B_CD8_4D_CITE/R24W_Hu_2B_CD8_4D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,16;19,Hu;CD8;CD8.W.2B;4D;normal.lung
R24-Cancer-W_Hu_CD8_6A_5D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/10-12-2021/count/R24_W/R24W_Hu_6A_CD8_5D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_6A_CD8_5D_CITE/R24W_Hu_6A_CD8_5D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,18,Hu;CD8;CD8.W.6A;5D;normal.lung
R24-Cancer-W_Hu_CD8_6B_3D,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/sequencing_data/10-12-2021/count/R24_W/R24W_Hu_6B_CD8_3D_Gex/outs/molecule_info.h5,/mnt/BioAdHoc/Groups/vd-vijay/vfajardo/R24/deconvolution/HTO_based/10-12-2021/R24_W/R24W_Hu_6B_CD8_3D_CITE/R24W_Hu_6B_CD8_3D_CITE_10-18-2021_100umis_thold/general_reports/ClassificationPerCell.csv,W,18,Hu;CD8;CD8.W.6B;3D;normal.lung
